KRS028+1      >600     >600     stack    >600     >600     >600     
KRS029+1      >600     >600     stack    >600     >600     >600     
KRS030+1      >600     >600     stack    >600     >600     >600     
KRS031+1      >600     >600     stack    >600     >600     >600     
KRS032+1      >600     >600     stack    >600     >600     >600     
KRS033+1      >600     >600     stack    >600     >600     >600     
KRS034+1      >600     >600     stack    >600     >600     >600     
KRS035+1      >600     >600     stack    >600     >600     >600     
KRS036+1      >600     >600     stack    >600     >600     >600     
KRS037+1      >600     >600     stack    >600     >600     >600     
KRS038+1      >600     >600     stack    >600     >600     >600     
KRS039+1      >600     >600     stack    >600     >600     >600     
KRS040+1      >600     >600     >600     >600     >600     >600     
KRS041+1      >600     >600     stack    >600     stack    >600     
KRS042+1      >600     >600     mem      >600     >600     >600     
KRS043+1      >600     >600     mem      >600     >600     >600     
KRS044+1      >600     >600     stack    >600     >600     >600     
KRS045+1      >600     >600     stack    >600     >600     >600     
KRS046+1      >600     >600     stack    >600     >600     >600     
KRS047+1      >600     >600     stack    >600     >600     >600     
KRS048+1      >600     >600     stack    >600     >600     >600     
KRS049+1      >600     >600     stack    >600     >600     >600     
KRS050+1      >600     >600     stack    >600     >600     >600     
KRS051+1      >600     >600     stack    >600     >600     >600     
KRS052+1      >600     >600     stack    >600     >600     >600     
KRS053+1      >600     >600     >600     >600     >600     >600     
KRS054+1      >600     >600     >600     >600     >600     >600     
KRS055+1      >600     >600     >600     >600     >600     >600     
KRS056+1      >600     >600     >600     >600     >600     >600     
KRS057+1      >600     >600     stack    >600     >600     >600     
KRS058+1      >600     >600     >600     >600     >600     >600     
KRS059+1      >600     >600     stack    >600     >600     >600     
KRS060+1      >600     >600     >600     >600     >600     >600     
KRS061+1      >600     >600     >600     >600     >600     >600     
KRS062+1      >600     >600     >600     >600     >600     >600     
KRS063+1      >600     >600     stack    >600     >600     0.01     
KRS064+1      <0.01    <0.01    <0.01    <0.01    <0.01    0.01     
KRS065+1      <0.01    <0.01    <0.01    <0.01    <0.01    <0.01    
KRS066+1      <0.01    <0.01    <0.01    0.01     <0.01    0.01     
KRS067+1      0.02     <0.01    <0.01    >600     >600     0.04     
KRS068+1      0.01     0.01     <0.01    >600     75.44    0.01     
KRS069+1      >600     >600     stack    >600     >600     >600     
KRS070+1      >600     >600     stack    >600     >600     13.26    
KRS071+1      >600     >600     stack    >600     >600     >600     
KRS072+1      >600     >600     stack    >600     >600     285.68   
KRS073+1      >600     >600     mem      >600     >600     >600     
KRS074+1      >600     >600     stack    >600     >600     0.01     
KRS075+1      >600     >600     stack    >600     >600     >600     
KRS076+1      >600     >600     stack    >600     >600     >600     
KRS077+1      >600     >600     stack    >600     >600     >600     
KRS078+1      >600     >600     mem      >600     >600     >600     
KRS079+1      >600     >600     stack    >600     >600     3.45     
KRS080+1      >600     >600     stack    >600     >600     >600     
KRS081+1      >600     >600     stack    >600     >600     >600     
KRS082+1      0.73     >600     stack    >600     >600     0.02     
KRS083+1      >600     >600     mem      >600     >600     >600     
KRS084+1      >600     >600     mem      >600     >600     >600     
KRS085+1      >600     >600     stack    >600     >600     0.23     
KRS086+1      >600     >600     stack    >600     >600     21.13    
KRS087+1      >600     >600     stack    >600     >600     0.21     
KRS088+1      >600     >600     stack    >600     >600     >600     
KRS089+1      >600     >600     stack    >600     >600     >600     
KRS090+1      51.80    stack    stack    stack    stack    0.03     
KRS091+1      0.01     <0.01    <0.01    >600     >600     0.01     
KRS092+1      0.02     1.49     0.08     >600     >600     0.01     
KRS093+1      0.01     1.31     0.27     >600     >600     0.01     
KRS094+1      <0.01    0.01     <0.01    >600     >600     0.01     
KRS095+1      >600     >600     mem      >600     >600     0.02     
KRS096+1      >600     >600     stack    >600     >600     0.06     
KRS097+1      >600     >600     stack    >600     >600     0.74     
KRS098+1      >600     >600     stack    >600     >600     >600     
KRS099+1      >600     >600     mem      >600     >600     1.12     
KRS100+1      <0.01    <0.01    <0.01    >600     1.22     0.08     
KRS101+1      >600     >600     stack    >600     >600     >600     
KRS102+1      >600     >600     stack    >600     >600     >600     
KRS103+1      >600     >600     stack    >600     stack    >600     
KRS104+1      >600     >600     stack    >600     >600     >600     
KRS105+1      0.02     >600     stack    >600     >600     0.02     
KRS106+1      >600     >600     stack    >600     >600     4.52     
KRS107+1      >600     >600     mem      >600     >600     >600     
KRS108+1      >600     >600     mem      >600     >600     3.59     
KRS109+1      >600     >600     mem      >600     >600     >600     
KRS110+1      >600     >600     stack    >600     >600     0.17     
KRS111+1      >600     >600     stack    >600     >600     5.90     
KRS112+1      >600     >600     stack    >600     >600     >600     
KRS113+1      >600     >600     stack    >600     >600     >600     
KRS114+1      >600     >600     stack    >600     >600     >600     
KRS115+1      >600     >600     stack    >600     >600     5.34     
KRS116+1      >600     >600     stack    >600     >600     >600     
KRS117+1      >600     >600     mem      >600     >600     >600     
KRS118+1      >600     >600     mem      >600     >600     >600     
KRS119+1      >600     >600     mem      >600     >600     >600     
KRS120+1      >600     >600     mem      >600     >600     >600     
KRS121+1      >600     >600     mem      >600     >600     >600     
KRS122+1      >600     >600     mem      >600     >600     >600     
KRS123+1      0.05     157.14   stack    >600     >600     0.01     
KRS124+1      45.78    >600     stack    >600     >600     0.03     
KRS125+1      2.34     >600     stack    >600     >600     0.01     
KRS126+1      0.01     >600     59.82    >600     >600     0.01     
KRS127+1      >600     >600     stack    >600     >600     0.15     
KRS128+1      0.02     >600     stack    >600     >600     0.02     
KRS129+1      >600     >600     stack    >600     >600     >600     
KRS130+1      0.25     <0.01    <0.01    >600     0.02     >600     
KRS131+1      >600     1.46     0.58     >600     >600     >600     
KRS132+1      >600     >600     >600     >600     >600     >600     
KRS133+1      >600     >600     stack    >600     >600     stack    
KRS134+1      <0.01    <0.01    <0.01    0.01     0.01     >600     
KRS135+1      2.20     <0.01    <0.01    35.93    0.02     >600     
KRS136+1      0.01     <0.01    <0.01    0.01     0.01     0.88     
KRS137+1      0.43     <0.01    <0.01    0.02     0.03     32.70    
KRS138+1      >600     >600     stack    >600     >600     >600     
KRS139+1      0.01     <0.01    <0.01    0.02     0.01     8.99     
KRS140+1      >600     >600     stack    >600     >600     >600     
KRS141+1      0.02     <0.01    <0.01    63.43    0.01     0.54     
KRS142+1      >600     >600     stack    >600     >600     >600     
KRS143+1      >600     >600     stack    >600     >600     >600     
KRS144+1      >600     >600     stack    >600     >600     >600     
KRS145+1      >600     >600     stack    >600     >600     >600     
KRS146+1      >600     >600     stack    >600     >600     >600     
KRS147+1      >600     >600     >600     >600     >600     >600     
